date,open,high,low,close,volume
2002-05-10,11944.79,11944.79,11497.79,11638.90,76.26M
2002-05-13,11638.90,11669.69,11441.02,11669.23,52.51M
2002-05-14,11669.23,11695.15,11387.43,11613.90,67.36M
2002-05-15,11613.90,11677.47,11320.36,11402.18,63.48M
2002-05-16,11402.18,11500.41,10949.35,11218.98,91.01M
2002-05-17,11218.98,11253.00,10454.70,10609.89,114.42M
2002-05-20,10609.89,10798.98,10461.59,10761.73,59.46M
2002-05-21,10761.73,10918.12,10711.67,10895.70,62.55M
2002-05-22,10895.70,10971.97,10503.13,10603.24,56.04M
2002-05-23,10603.24,10844.81,10590.74,10774.21,46.79M
2002-05-24,10774.21,10919.74,10726.90,10894.27,52.57M
2002-05-27,10894.27,11199.04,10894.27,11199.04,68.72M
2002-05-28,11199.04,11218.03,10780.64,10934.65,77.56M
2002-05-29,10934.65,10934.65,10593.26,10806.54,41.17M
2002-05-30,10806.54,10845.47,10323.71,10508.09,75.60M
2002-05-31,10508.09,10548.97,10132.51,10413.70,64.59M
2002-06-03,10413.70,10413.70,10041.98,10316.91,43.54M
2002-06-04,10316.91,10386.99,10119.41,10386.99,49.74M
2002-06-05,10386.99,10449.57,10295.22,10383.36,37.02M
2002-06-06,10383.36,10610.59,10374.02,10488.19,76.62M
2002-06-07,10488.19,10519.24,10046.39,10151.02,72.67M
2002-06-10,10151.02,10151.02,9769.37,9866.48,49.08M
2002-06-11,9866.48,9951.83,9524.86,9721.38,70.76M
2002-06-12,9721.38,9793.88,9491.29,9704.09,54.57M
2002-06-13,9704.09,10084.77,9673.81,9774.39,97.87M
2002-06-14,9774.39,9787.91,9339.57,9464.52,65.12M
2002-06-17,9464.52,9464.52,9158.60,9230.70,53.88M
2002-06-18,9230.70,9575.19,9189.46,9575.19,68.82M
2002-06-19,9575.19,9575.19,9066.20,9378.43,93.56M
2002-06-20,9378.43,9605.95,9121.48,9179.35,100.85M
2002-06-21,9179.35,9220.48,8997.21,9220.48,48.34M
2002-06-24,9220.48,9241.45,8887.37,8984.58,51.09M
2002-06-25,8984.58,9126.45,8896.96,9094.77,65.01M
2002-06-26,9094.77,9094.77,8535.92,8627.42,49.85M
2002-06-27,8627.42,9062.58,8597.94,9009.19,155.96M
